Customer ID,Total Purchases,Total Amount Spent,Average Purchase Value,Recency,Frequency,Target
,,,,,,0
100011.0,20.0,1380.0,69.0,719.0,,0
100012.0,1.0,126.0,126.0,719.0,,0
100014.0,13720.0,143236.8,10.44,355.0,1.0,0
100015.0,400.0,12800.0,32.0,716.0,,0
100018.0,200.0,15000.0,75.0,348.0,1.0,0
100028.0,5.0,0.0,0.0,705.0,,0
100033.0,1.0,621.95,621.95,760.0,,0
100039.0,1.0,110.77,110.77,471.0,,0
100047.0,1.0,458.0,458.0,1021.0,,0
100050.0,-1.0,-25.16,25.16,769.0,,0
100058.0,5.0,3897.25,779.45,642.0,,0
100073.0,1.0,132.0,132.0,1000.0,,0
100074.0,-10.0,-1500.0,150.0,751.0,,0
100078.0,4.0,168.0,42.0,667.0,,0
100085.0,1.0,262.0,262.0,1063.0,,0
100086.0,1.0,0.0,0.0,1027.0,,0
100088.0,1.0,306.0,306.0,1007.0,,0
100093.0,48.0,3480.0,72.5,678.0,,0
100095.0,1.0,0.0,0.0,977.0,,0
100099.0,1.0,0.0,0.0,977.0,,0
100102.0,-1.0,-99.0,99.0,557.0,,0
100104.0,1.0,0.0,0.0,983.0,,0
100113.0,1.0,178.4,178.4,1000.0,,0
100117.0,2.0,371.8,185.9,352.0,1.0,0
100122.0,10.0,9621.0,962.1,1074.0,,0
100126.0,4.0,1376.28,344.07,19.0,1.0,0
100128.0,1.0,75.0,75.0,891.0,,0
100140.0,1.0,68.0,68.0,412.0,,0
100145.0,1.0,510.0,510.0,1073.0,,0
100147.0,12.0,2592.0,216.0,1056.0,,0
100158.0,20.0,0.0,0.0,674.0,,0
100161.0,1.0,1151.0,1151.0,1073.0,,0
100166.0,1.0,294.0,294.0,664.0,,0
100167.0,1.0,323.4,323.4,352.0,1.0,0
100168.0,5.0,0.0,0.0,1053.0,,0
100172.0,1.0,91.0,91.0,906.0,,0
100173.0,2.0,978.0,489.0,1021.0,,0
100176.0,1.0,61.6,61.6,355.0,1.0,0
100186.0,4.0,224.0,56.0,999.0,,0
100187.0,1.0,207.0,207.0,1047.0,,0
100194.0,1.0,255.0,255.0,1068.0,,0
100198.0,1.0,570.9,570.9,361.0,1.0,0
100202.0,2.0,162.0,81.0,1073.0,,0
100204.0,1.0,0.0,0.0,1059.0,,0
100207.0,1.0,130.14,130.14,1073.0,,0
100212.0,1.0,241.0,241.0,1047.0,,0
100216.0,1.0,145.0,145.0,696.0,,0
100218.0,1.0,6000.0,6000.0,433.0,,0
100228.0,1.0,50.0,50.0,471.0,,0
100230.0,6.0,1315.2,219.20000000000002,1046.0,,0
100240.0,1.0,250.0,250.0,1074.0,,0
100246.0,30.0,2700.0,90.0,1076.0,,0
100248.0,5.0,25.0,5.0,704.0,,0
100256.0,2.0,510.0,255.0,1067.0,,0
100257.0,2.0,296.0,148.0,1048.0,,0
100259.0,1.0,547.0,547.0,1031.0,,0
100266.0,3.0,1197.0,399.0,1000.0,,0
100277.0,2.0,331.2,165.6,342.0,1.0,0
100280.0,1000.0,4460.0,4.46,1076.0,,0
100293.0,1.0,489.0,489.0,724.0,,0
100296.0,1.0,510.0,510.0,1073.0,,0
100298.0,1.0,148.2,148.2,720.0,,0
100301.0,1.0,8600.0,8600.0,751.0,,0
100307.0,75.0,12960.0,172.8,1011.0,,0
100312.0,1.0,25.2,25.2,716.0,,0
100317.0,1.0,567.0,567.0,699.0,,0
100325.0,5.0,328.25,65.65,1075.0,,0
100327.0,1.0,255.0,255.0,866.0,,0
100356.0,1.0,98.0,98.0,1076.0,,0
100359.0,-1.0,-16.2,16.2,712.0,,0
100366.0,3.0,84.0,28.0,1070.0,,0
100368.0,-1.0,-16.34,16.34,681.0,,0
100369.0,1.0,0.0,0.0,1068.0,,0
100371.0,2.0,1089.0,544.5,299.0,1.0,0
100372.0,1.0,18.0,18.0,718.0,,0
100376.0,-2.0,-1346.0,673.0,719.0,,0
100378.0,1.0,100.0,100.0,292.0,1.0,0
100379.0,4.0,172.0,43.0,1074.0,,0
100390.0,2.0,1832.0,916.0,1046.0,,0
100394.0,1.0,510.0,510.0,1074.0,,0
100402.0,1.0,0.0,0.0,899.0,,0
100405.0,14.0,812.0,58.0,1064.0,,0
100406.0,1.0,0.0,0.0,972.0,,0
100407.0,8.0,1928.0,241.0,1074.0,,0
100418.0,1.0,284.0,284.0,562.0,,0
100432.0,-1.0,-5.0,5.0,635.0,,0
100433.0,-1.0,-8.82,8.82,769.0,,0
100439.0,30.0,224.1,7.47,646.0,,0
100444.0,11.0,935.0,85.0,615.0,,0
100457.0,2.0,32.0,16.0,1068.0,,0
100466.0,1.0,748.0,748.0,1067.0,,0
100472.0,1.0,75.0,75.0,1074.0,,0
100478.0,1.0,272.0,272.0,1047.0,,0
100483.0,3.0,294.0,98.0,1076.0,,0
100487.0,1.0,298.0,298.0,1074.0,,0
100490.0,2.0,178.2,89.1,352.0,1.0,0
100493.0,30.0,13365.0,445.5,445.0,,0
100497.0,-2.0,-106.0,53.0,585.0,,0
100499.0,-2.0,-360.0,180.0,711.0,,0
100501.0,20.0,4760.0,238.0,711.0,,0
100503.0,4.0,952.0,238.0,1047.0,,0
100511.0,2.0,916.0,458.0,779.0,,0
100512.0,5.0,1425.0,285.0,1032.0,,0
100518.0,2.0,432.0,216.0,1075.0,,0
100519.0,20.0,100.0,5.0,502.0,,0
100525.0,1.0,510.0,510.0,1072.0,,0
100529.0,-2.0,-548.0,274.0,699.0,,0
100530.0,2.0,548.0,274.0,1021.0,,0
100531.0,1.0,306.0,306.0,1074.0,,0
100539.0,1.0,274.0,274.0,1021.0,,0
100541.0,1.0,83.0,83.0,802.0,,0
100542.0,5.0,2180.0,436.0,1074.0,,0
100549.0,2.0,1260.0,630.0,1074.0,,0
100550.0,1.0,325.0,325.0,1074.0,,0
100560.0,1.0,108.0,108.0,1048.0,,0
100564.0,1.0,792.0,792.0,1045.0,,0
100571.0,1.0,60.0,60.0,1069.0,,0
100588.0,1.0,45.0,45.0,712.0,,0
100592.0,1.0,206.0,206.0,1070.0,,0
100593.0,1.0,98.0,98.0,698.0,,0
100594.0,1.0,398.0,398.0,1032.0,,0
100595.0,40.0,3200.0,80.0,1006.0,,0
100623.0,50.0,6340.0,126.8,339.0,1.0,0
100625.0,7.0,6524.0,932.0,1062.0,,0
100629.0,1.0,18.0,18.0,1073.0,,0
100630.0,2.0,180.0,90.0,1073.0,,0
100636.0,-10.0,-2980.0,298.0,654.0,,0
100642.0,1.0,132.0,132.0,1072.0,,0
